latitude,longitude
44.47374,-73.19415
42.38694,-72.52991
40.09912,-88.23852
36.068681,-94.176012
30.21929,-92.04138
30.28522,-97.73389
40.82068,-96.70048
44.97101,-93.23144
47.92654,-97.07212
40.76281,-111.83687
34.07088,-118.44685
46.85461,-113.96552
41.31423,-105.56432
39.54427,-119.81631
46.7238,-117.02044
47.65435,-122.30806
44.04455,-123.07174
32.23564,-110.95174
38.95349,-95.26309
40.00694,-105.26639
35.08663,-106.62021
38.93641,-92.3297
43.08027,-89.43096
35.90504,-79.04775
42.79137,-96.92542
42.29421,-83.71004
34.36461,-89.53963
33.209438,-87.541493
33.94043,-83.37305
29.63288,-82.34901
35.19599,-97.44571
44.89914,-68.66637
40.74213,-74.17903
39.65369,-79.95745
38.99041,-76.94386
33.99288,-81.02675
35.95164,-83.93088
38.04106,-78.5055
39.94934,-75.18964
43.13827,-70.93238
39.18024,-86.50935
39.323,-82.10268
41.66831,-91.57953
40.90988,-73.12155
41.82176,-72.24278
38.02704,-84.50484
39.68103,-75.75402
41.4873,-71.53446
